Produto,Link,location,day,error
"Placa de Video RTX 4060 Infinity 2 Palit NVIDIA GeForce, 8GB, GDDR6 (Novo Lacrado)",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rtx-4060-infinity-2-palit-nvidia-geforce-8gb-gddr6-novo-lacrado-1361142687,"Belo Horizonte, Lourdes","6 de jun, 13:26","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(25).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de video Asrock RX 6600 xt 8gb 90-GA2TZZ-00UANF,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-asrock-rx-6600-xt-8gb-90-ga2tzz-00uanf-1410177822,"Belo Horizonte, Liberdade","6 de jun, 08:54","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(30).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo GTX 1650 D6 Ventus XS OCV3 MSI NVIDIA GeForce, 4GB GDDR6",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gtx-1650-d6-ventus-xs-ocv3-msi-nvidia-geforce-4gb-gddr6-1324995183,"Belo Horizonte, Lourdes","6 de jun, 08:42","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(31).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Quadro DELL Nvidia T1000 4gb Ddr6 128 Bits,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-quadro-dell-nvidia-t1000-4gb-ddr6-128-bits-1374665192,"Belo Horizonte, Califórnia","6 de jun, 07:32","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(32).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Galax GeForce RTX 3070 8GB,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-galax-geforce-rtx-3070-8gb-1410051897,"Belo Horizonte, São Lucas","5 de jun, 19:24","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(39).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Video: ASUS Geforce GTX 1050 Ti 4GB GDDR5, PH-GTX1050TI-4G",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-asus-geforce-gtx-1050-ti-4gb-gddr5-ph-gtx1050ti-4g-1410037480,"Betim, São João","5 de jun, 18:20","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(41).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Gigabyte GeForce GTX 1050 Ti G1 Gaming 4GB,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-gigabyte-geforce-gtx-1050-ti-g1-gaming-4gb-1409944105,"Juiz de Fora, Vitorino Braga","5 de jun, 13:10","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(46).locator(""div.olx-adcard__mediumbody h3.olx-text.olx-text--body-large.olx-text--block.olx-text--semibold.olx-adcard__price"")
"
Placa de Vídeo AFOX GeForce GT 1030 2GB GDDR5 - HDMI / DVI-D - PCI Express,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-afox-geforce-gt-1030-2gb-gddr5-hdmi-dvi-d-pci-express-1398880708,"Belo Horizonte, Concórdia","5 de jun, 11:09","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(47).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de video Soyo Radeon RX 580 8GB, NOVA, Na Caixa**SOMENTE VENDAS",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-soyo-radeon-rx-580-8gb-nova-na-caixa-somente-vendas-1365173114,"Uberlândia, Alto Umuarama","5 de jun, 10:41","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(49).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8 GB, GDDR6, Nova, Na Caixa",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-rx-6600-cld-8g-asrock-amd-radeon-8-gb-gddr6-nova-na-caixa-1409748059,"Uberlândia, Alto Umuarama","4 de jun, 17:54","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(11).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Zotac GTX 970 4gb,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-zotac-gtx-970-4gb-1409447624,"Juiz de Fora, Carlos Chagas","3 de jun, 23:26","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(28).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo AMD Radeon RX 6750,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/placa-de-video-amd-radeon-rx-6750-1409440458,Guapé,"3 de jun, 22:58","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(29).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo ASUS  1050ti ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-asus-1050ti-1409282975,"Ribeirão das Neves, Maria Helena (Justinópolis)","3 de jun, 13:54","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(36).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo RX 6600 8gb Gigabyte Eagle,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rx-6600-8gb-gigabyte-eagle-1409211070,"Contagem, Industrial","3 de jun, 09:18","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(45).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo rtx 3050 Asus novo lacrado loja física  COM GARANTIA,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rtx-3050-asus-novo-lacrado-loja-fisica-com-garantia-1334270777,"Belo Horizonte, Lourdes","3 de jun, 08:07","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(47).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo rtx 4060 ventus 2x black novo lacrado loja física ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rtx-4060-ventus-2x-black-novo-lacrado-loja-fisica-1335334802,"Belo Horizonte, Lourdes","3 de jun, 08:06","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(48).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo GeForce Rtx 4080 Super 16 Gb,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-geforce-rtx-4080-super-16-gb-1409127112,"Belo Horizonte, Graça","2 de jun, 21:34","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(3).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Veineda Gaming Series,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-veineda-gaming-series-1409031437,"Uberlândia, Residencial Viviane","2 de jun, 15:27","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(8).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo GTX 550ti ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gtx-550ti-1408842241,"Ibirité, Canoas","1 de jun, 20:47","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(21).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo MSI,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-msi-1408811389,"Belo Horizonte, Lourdes","1 de jun, 17:00","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(27).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo MLSE,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/informatica/placas-de-video/placa-de-video-mlse-1408708452,Vargem Alegre,"31 de mai, 23:16","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(31).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-1408680920,"Ibirité, Piratininga (Parque Durval de Barros)","31 de mai, 19:22","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(33).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Radeon AMD hd 7450 2gb,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-radeon-amd-hd-7450-2gb-1408667376,Espera Feliz,"31 de mai, 17:41","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(34).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo rx 580 8gb ,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/informatica/placas-de-video/placa-de-video-rx-580-8gb-1408663351,Vargem Alegre,"31 de mai, 17:11","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(35).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa De Vídeo Asus Dual AMD Radeon RX 7600 EVO OC Edition, 8GB, GDDR6, Nova, Lacrada",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-asus-dual-amd-radeon-rx-7600-evo-oc-edition-8gb-gddr6-nova-lacrada-1376562852,"Uberlândia, Alto Umuarama","31 de mai, 06:40","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(43).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa De Vídeo Duex Geforce Gt 610, 1GB Ddr3, 64 Bits, Low Profile, Nova, Lacrada",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-duex-geforce-gt-610-1gb-ddr3-64-bits-low-profile-nova-lacrada-1373760022,"Uberlândia, Alto Umuarama","31 de mai, 06:40","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(44).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo Gtx 550 ddr5 1giga. ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gtx-550-ddr5-1giga-1397147623,"Belo Horizonte, Santa Amélia","30 de mai, 23:27","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(49).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Radeon R7 360 2GB GDDR5,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-radeon-r7-360-2gb-gddr5-1399472795,"Ribeirão das Neves, Conjunto Nova Pampulha (Justinópolis)","30 de mai, 17:32","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(4).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo 4000 8X,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-4000-8x-1408263072,Matias Barbosa,"29 de mai, 21:57","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(14).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Gigabyte,https://mg.olx.com.br/regiao-de-divinopolis/informatica/placas-de-video/placa-de-video-gigabyte-1408185713,"Pará de Minas, Centro","29 de mai, 16:09","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(16).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Galax GeForce GTX 1650 EX Plus 4GB,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-galax-geforce-gtx-1650-ex-plus-4gb-1408174141,"Juiz de Fora, Cidade do Sol","29 de mai, 15:21","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(17).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de video Rx570 ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rx570-1408149360,"Belo Horizonte, Carlos Prates","29 de mai, 13:39","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(19).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Gigabyte GeForce RTX 5070,https://mg.olx.com.br/regiao-de-divinopolis/informatica/placas-de-video/placa-de-video-gigabyte-geforce-rtx-5070-1408137995,"Pará de Minas, Centro","29 de mai, 12:57","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(20).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Gamer - Modelo Específico,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gamer-modelo-especifico-1407939168,"Ibirité, Piratininga (Parque Durval de Barros)","28 de mai, 19:17","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(22).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
PLACA DE VIDEO RTX 3080 10GB,https://mg.olx.com.br/regiao-de-divinopolis/informatica/placas-de-video/placa-de-video-rtx-3080-10gb-1407910363,Formiga,"28 de mai, 17:26","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(28).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de vídeo NVIDIA GeForce GTX 1660 Super OC 6GB GDDR6  Asus Tuf Gaming   Novo, ",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-nvidia-geforce-gtx-1660-super-oc-6gb-gddr6-asus-tuf-gaming-novo-1389591503,"Belo Horizonte, Centro","28 de mai, 08:18","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(35).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo gt730 4gb ram,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-gt730-4gb-ram-1407636910,"Uberlândia, Brasil","27 de mai, 20:01","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(39).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
